['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 951046), 'Duration (s)', 0.050764]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 7820), 'Duration (s)', 0.07115]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 78970), 'Duration (s)', 0.050928]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 135447), 'Duration (s)', 0.023464]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 158911), 'Duration (s)', 0.052858]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 216933), 'Duration (s)', 0.040261]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 257194), 'Duration (s)', 0.050998]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 314492), 'Duration (s)', 0.036581]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 351073), 'Duration (s)', 0.049821]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 408628), 'Duration (s)', 0.055891]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 464519), 'Duration (s)', 0.047462]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 518998), 'Duration (s)', 0.039565]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 558563), 'Duration (s)', 0.055212]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 619602), 'Duration (s)', 0.037717]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 657319), 'Duration (s)', 0.050834]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 714297), 'Duration (s)', 0.038659]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 752956), 'Duration (s)', 0.048559]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 807498), 'Duration (s)', 0.054358]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 861856), 'Duration (s)', 0.047467]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 916338), 'Duration (s)', 0.045088]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 10, 961426), 'Duration (s)', 0.048599]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 11, 15045), 'Duration (s)', 0.038863]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 11, 53908), 'Duration (s)', 0.051774]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 11, 111712), 'Duration (s)', 0.056168]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 11, 167880), 'Duration (s)', 0.050472]
